,word,variant,count,cat,affix_type
326,tomgirl,tomgirl,1, girl,suffix
327,transgirl,transgirl,1, girl,suffix
328,callgirl,callgirl,1, girl,suffix
329,playgirl,playgirl,1, girl,suffix
330,fangirls,fangirls,1, girl,suffix
331,tubgirl,tubgirl,1, girl,suffix
332,snowgirl,snowgirl,1, girl,suffix
333,ex-girl,ex-girl,1, girl,suffix
334,papergirl,papergirl,1, girl,suffix
335,cavegirl,cavegirl,1, girl,suffix
336,ballgirl,ballgirl,1, girl,suffix
337,farmgirl,farmgirl,1, girl,suffix
338,cowgirls,cowgirls,1, girl,suffix
339,slavegirl,slavegirl,1, girl,suffix
340,man-boobs,man-boobs,11,man,prefix
341,man-marking,man marking,6,man,prefix
342,man-made,man-made,200,man,prefix
343,man-ape,man-ape,9,man,prefix
344,man-pack,manpack,8,man,prefix
345,man-hater,man hater,12,man,prefix
346,man-eater,man-eater,15,man,prefix
347,man-bag,man-bag,1,man,prefix
348,man-ass,manass,1,man,prefix
349,man-crush,man-crush,10,man,prefix
350,man-child,man-child,27,man,prefix
351,man-stealing,manstealing,1,man,prefix
352,man-woman,manwoman,6,man,prefix
353,man-machine,man-machine,4,man,prefix
354,man-cession,mancession,2,man,prefix
355,man-hours,man-hours,39,man,prefix
356,man-fest,manfest,2,man,prefix
357,man-code,mancode,2,man,prefix
358,man-eating,man-eating,21,man,prefix
359,man-hour,man-hour,3,man,prefix
360,man-hating,man hating,7,man,prefix
361,man-hug,man hug,3,man,prefix
362,man-up,man up,2,man,prefix
363,man-year,man-year,1,man,prefix
364,man-thing,man-thing,1,man,prefix
365,man-cat,mancat,1,man,prefix
366,man-stopper,manstopper,8,man,prefix
367,man-love,manlove,7,man,prefix
368,man-dog,mandog,2,man,prefix
369,man-power,man power,11,man,prefix
370,man-month,man-month,2,man,prefix
371,man-servant,man servant,2,man,prefix
372,man-rating,man-rating,1,man,prefix
373,man-boy,manboy,5,man,prefix
374,man-db,man-db,7,man,prefix
375,man-magnet,man magnet,2,man,prefix
376,man-whore,man-whore,5,man,prefix
377,man-cave,man cave,2,man,prefix
378,man-He,manHe,1,man,prefix
379,man-trap,man-trap,1,man,prefix
380,man-friend,manfriend,1,man,prefix
381,man-hunt,man hunt,5,man,prefix
382,man-hood,manhood,2,man,prefix
383,man-page,man-page,1,man,prefix
384,man-slaughter,manslaughter,2,man,prefix
385,man-kind,mankind,2,man,prefix
386,man-mark,man-mark,2,man,prefix
387,womankind,womankind,53,woman,prefix
388,womanist,womanist,9,woman,prefix
389,womanly,womanly,2,woman,prefix
390,womanism,womanism,11,woman,prefix
391,girlfriend,girlfriend,8436,girl,prefix
392,girliness,girliness,21,girl,prefix
393,girlie,girlie,79,girl,prefix
394,girlfag,girlfag,1,girl,prefix
395,girlish,girlish,25,girl,prefix
396,girldom,girldom,2,girl,prefix
397,girlvinyl,girlvinyl,1,girl,prefix
398,girlification,girlification,2,girl,prefix
399,girlishly,girlishly,1,girl,prefix
400,girlfight,girlfight,5,girl,prefix
401,girlpower,girlpower,1,girl,prefix
402,girlcott,girlcott,2,girl,prefix
403,girllove,girllove,6,girl,prefix
404,boyfriend,boyfriend,6069,boy,prefix
405,boyar,boyar,7,boy,prefix
406,boyband,boyband,13,boy,prefix
407,boyish,boyish,32,boy,prefix
408,boying,boying,1,boy,prefix
409,boyscout,boyscout,9,boy,prefix
410,boyism,boyism,4,boy,prefix
411,boyishly,boyishly,1,boy,prefix
412,boyer,boyer,1,boy,prefix
413,boysgirls,boysgirls,3,boy,prefix
414,boytoy,boytoy,1,boy,prefix
